직급,BAND,기본연봉,업적연봉,고정연장,계약연봉소계,직책수당,가족수당(본인),차량보조금,자기계발지원금,귀향여비,복지포인트,선택형 복지포인트,체력단련비,개인연금,현금성지급소계,계약연봉+현금성지급,경영성과급,총계
G4/R4(실장),Max,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G4/R4(실장),초임,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G4/R4(팀장),Max,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G4/R4(팀장),초임,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G4/R4,Max,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G4/R4,초임,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G3/R3,Max,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G3/R3,초임,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G2/R2,Max,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G2/R2,초임,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G1/R1,4년차,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G1/R1,3년차(석사),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G1/R1,초임,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
